city,date,min_temp,max_temp,weather,rp,rainfall
Buenos Aires (Argentina),2025-06-18,10.35°C,15.13°C,약간의 구름이 낀 하늘,0%,0mm
Buenos Aires (Argentina),2025-06-19,10.48°C,16.37°C,맑음,0%,0mm
Yerevan (Armenia),2025-06-12,16.43°C,30.2°C,실 비,69%,0.72mm
Yerevan (Armenia),2025-06-13,16.21°C,31.84°C,보통 비,100%,3.17mm
Yerevan (Armenia),2025-06-14,15.92°C,31.13°C,약간의 구름이 낀 하늘,9%,0mm
Yerevan (Armenia),2025-06-15,17.92°C,31.42°C,맑음,0%,0mm
Yerevan (Armenia),2025-06-16,16.64°C,29.82°C,맑음,19%,0mm
Yerevan (Armenia),2025-06-17,14.67°C,27.45°C,실 비,56%,0.51mm
Yerevan (Armenia),2025-06-18,15.01°C,28.89°C,맑음,0%,0mm
Oranjestad (Aruba),2025-06-13,26.04°C,26.45°C,실 비,82%,0.96mm
Oranjestad (Aruba),2025-06-14,25.49°C,26.44°C,실 비,77%,1.68mm
Oranjestad (Aruba),2025-06-15,25.69°C,26.7°C,보통 비,100%,10.14mm
Oranjestad (Aruba),2025-06-16,26.07°C,26.61°C,실 비,92%,1.88mm
Oranjestad (Aruba),2025-06-17,26.3°C,26.51°C,튼구름,0%,0mm
Oranjestad (Aruba),2025-06-18,26.32°C,26.62°C,실 비,20%,0.12mm
Oranjestad (Aruba),2025-06-19,26.41°C,26.72°C,실 비,20%,0.18mm
Canberra (Australia),2025-06-12,-0.04°C,11.49°C,약간의 구름이 낀 하늘,0%,0mm
Canberra (Australia),2025-06-13,1.36°C,12.46°C,튼구름,0%,0mm
Canberra (Australia),2025-06-14,1.04°C,11.88°C,맑음,0%,0mm
Canberra (Australia),2025-06-15,1.94°C,10.04°C,온흐림,0%,0mm
Canberra (Australia),2025-06-16,-1.05°C,10.65°C,약간의 구름이 낀 하늘,0%,0mm
Canberra (Australia),2025-06-17,1.2°C,11.22°C,맑음,0%,0mm
Canberra (Australia),2025-06-18,0.83°C,11.66°C,실 비,81%,0.42mm
Wien (Vienna) (Austria),2025-06-12,11.85°C,24.26°C,맑음,0%,0mm
Wien (Vienna) (Austria),2025-06-13,12.5°C,24.01°C,맑음,0%,0mm
Wien (Vienna) (Austria),2025-06-14,10.79°C,25.44°C,맑음,0%,0mm
Wien (Vienna) (Austria),2025-06-15,13.35°C,30.69°C,맑음,0%,0mm
Wien (Vienna) (Austria),2025-06-16,18.47°C,26.06°C,실 비,30%,0.27mm
Wien (Vienna) (Austria),2025-06-17,14.77°C,27.05°C,맑음,0%,0mm
Wien (Vienna) (Austria),2025-06-18,16.36°C,31.49°C,튼구름,0%,0mm
Baku (Azerbaijan),2025-06-12,22.81°C,25.96°C,맑음,0%,0mm
Baku (Azerbaijan),2025-06-13,22.32°C,26.74°C,맑음,0%,0mm
Baku (Azerbaijan),2025-06-14,23.35°C,28.57°C,구름조금,0%,0mm
Baku (Azerbaijan),2025-06-15,21.56°C,27.21°C,맑음,0%,0mm
Baku (Azerbaijan),2025-06-16,20.22°C,23.76°C,맑음,0%,0mm
Baku (Azerbaijan),2025-06-17,21.56°C,22.71°C,튼구름,0%,0mm
Baku (Azerbaijan),2025-06-18,22.18°C,26.32°C,맑음,0%,0mm
Nassau (Bahamas),2025-06-13,27.4°C,28.04°C,실 비,100%,2.01mm
Nassau (Bahamas),2025-06-14,27.48°C,28.06°C,실 비,26%,0.23mm
Nassau (Bahamas),2025-06-15,27.59°C,27.98°C,실 비,37%,1.54mm
Nassau (Bahamas),2025-06-16,27.26°C,27.99°C,실 비,71%,1.18mm
Nassau (Bahamas),2025-06-17,27.44°C,28.02°C,실 비,55%,1.02mm
Nassau (Bahamas),2025-06-18,27.45°C,28.26°C,실 비,20%,0.69mm
Nassau (Bahamas),2025-06-19,27.77°C,28.27°C,실 비,33%,0.54mm
Al-Manamah (Manama) (Bahrain),2025-06-12,30.58°C,35.79°C,맑음,0%,0mm
Al-Manamah (Manama) (Bahrain),2025-06-13,30.58°C,33.79°C,맑음,0%,0mm
Al-Manamah (Manama) (Bahrain),2025-06-14,30.95°C,35.32°C,맑음,0%,0mm
Al-Manamah (Manama) (Bahrain),2025-06-15,31.62°C,35.81°C,맑음,0%,0mm
Al-Manamah (Manama) (Bahrain),2025-06-16,31.94°C,36.11°C,맑음,0%,0mm
Al-Manamah (Manama) (Bahrain),2025-06-17,31.61°C,34.27°C,맑음,0%,0mm
Al-Manamah (Manama) (Bahrain),2025-06-18,31.14°C,33.04°C,맑음,0%,0mm
Dhaka (Bangladesh),2025-06-12,27.24°C,34.48°C,실 비,100%,1.79mm
Dhaka (Bangladesh),2025-06-13,27.42°C,34.34°C,온흐림,2%,0mm
Dhaka (Bangladesh),2025-06-14,27.53°C,34.64°C,온흐림,0%,0mm
Dhaka (Bangladesh),2025-06-15,27.99°C,34.55°C,온흐림,0%,0mm
Dhaka (Bangladesh),2025-06-16,28.12°C,36.04°C,구름조금,0%,0mm
Dhaka (Bangladesh),2025-06-17,28.02°C,34.14°C,실 비,76%,1.47mm
Dhaka (Bangladesh),2025-06-18,26.58°C,32.55°C,실 비,100%,8.4mm
Bridgetown (Barbados),2025-06-13,26.39°C,27.94°C,보통 비,100%,8.03mm
Bridgetown (Barbados),2025-06-14,26.75°C,28.09°C,실 비,89%,0.34mm
Bridgetown (Barbados),2025-06-15,26.66°C,28.16°C,실 비,90%,1.16mm
Bridgetown (Barbados),2025-06-16,26.85°C,28.2°C,실 비,26%,0.98mm
Bridgetown (Barbados),2025-06-17,26.88°C,28.27°C,실 비,20%,0.27mm
Bridgetown (Barbados),2025-06-18,26.7°C,28.09°C,실 비,20%,0.36mm
Bridgetown (Barbados),2025-06-19,26.9°C,28.1°C,온흐림,0%,0mm
Minsk (Belarus),2025-06-12,9.46°C,13.86°C,실 비,100%,4.33mm
Minsk (Belarus),2025-06-13,9.55°C,18.57°C,보통 비,100%,6.38mm
Minsk (Belarus),2025-06-14,11.64°C,21.05°C,실 비,20%,0.25mm
Minsk (Belarus),2025-06-15,12.63°C,21.05°C,구름조금,0%,0mm
Minsk (Belarus),2025-06-16,12.43°C,23.27°C,실 비,20%,0.21mm
Minsk (Belarus),2025-06-17,10.04°C,17.8°C,실 비,100%,3.69mm
Minsk (Belarus),2025-06-18,12.28°C,19.96°C,온흐림,0%,0mm
Bruxelles-Brussel (Belgium),2025-06-12,11.98°C,29.21°C,구름조금,0%,0mm
Bruxelles-Brussel (Belgium),2025-06-13,18.16°C,31.56°C,실 비,100%,0.99mm
Bruxelles-Brussel (Belgium),2025-06-14,17.89°C,28.42°C,보통 비,100%,3.66mm
