city,date,min_temp,max_temp,weather,rp,rainfall
Santiago (Chile),2025-06-16,7.79°C,13.1°C,강한 비,100%,32.79mm
Santiago (Chile),2025-06-17,8°C,11.5°C,실 비,100%,0.3mm
Santiago (Chile),2025-06-18,8.53°C,14.96°C,맑음,0%,0mm
Santiago (Chile),2025-06-19,10.37°C,18.12°C,튼구름,0%,0mm
Beijing (China),2025-06-12,25.04°C,39.17°C,실 비,100%,1.97mm
Beijing (China),2025-06-13,24.09°C,31.53°C,실 비,100%,3.15mm
Beijing (China),2025-06-14,22.92°C,29.42°C,온흐림,80%,0mm
Beijing (China),2025-06-15,24.99°C,34.29°C,약간의 구름이 낀 하늘,0%,0mm
Beijing (China),2025-06-16,24.79°C,36.68°C,맑음,0%,0mm
Beijing (China),2025-06-17,26.14°C,39.34°C,맑음,0%,0mm
Beijing (China),2025-06-18,27.6°C,39.53°C,온흐림,0%,0mm
"Hong Kong (China, Hong Kong SAR)",2025-06-12,27.19°C,28.85°C,실 비,100%,9.17mm
"Hong Kong (China, Hong Kong SAR)",2025-06-13,27.08°C,29.08°C,실 비,100%,3.63mm
"Hong Kong (China, Hong Kong SAR)",2025-06-14,27.38°C,30.12°C,보통 비,100%,6.97mm
"Hong Kong (China, Hong Kong SAR)",2025-06-15,27.96°C,29.36°C,보통 비,100%,14.91mm
"Hong Kong (China, Hong Kong SAR)",2025-06-16,27.09°C,28.9°C,보통 비,100%,23.05mm
"Hong Kong (China, Hong Kong SAR)",2025-06-17,25.29°C,30.27°C,온흐림,41%,0mm
"Hong Kong (China, Hong Kong SAR)",2025-06-18,27.09°C,29.36°C,실 비,70%,0.54mm
"Macao (China, Macao SAR)",2025-06-12,27.59°C,29.51°C,실 비,100%,8.45mm
"Macao (China, Macao SAR)",2025-06-13,27.45°C,29.57°C,보통 비,100%,13.23mm
"Macao (China, Macao SAR)",2025-06-14,27.71°C,30.82°C,보통 비,100%,7.56mm
"Macao (China, Macao SAR)",2025-06-15,27.96°C,29.93°C,실 비,100%,8.83mm
"Macao (China, Macao SAR)",2025-06-16,25.96°C,29.44°C,실 비,100%,6.91mm
"Macao (China, Macao SAR)",2025-06-17,24.23°C,30.44°C,온흐림,0%,0mm
"Macao (China, Macao SAR)",2025-06-18,27.11°C,30.31°C,맑음,0%,0mm
"Taibei (China, Taiwan Province of China)",2025-06-12,26.64°C,33.15°C,실 비,44%,0.3mm
"Taibei (China, Taiwan Province of China)",2025-06-13,26.28°C,31.34°C,강한 비,100%,16.55mm
"Taibei (China, Taiwan Province of China)",2025-06-14,25.92°C,32.81°C,보통 비,100%,5.44mm
"Taibei (China, Taiwan Province of China)",2025-06-15,24.98°C,27.28°C,강한 비,100%,29.93mm
"Taibei (China, Taiwan Province of China)",2025-06-16,25.16°C,30.33°C,보통 비,100%,7.52mm
"Taibei (China, Taiwan Province of China)",2025-06-17,25.66°C,33.97°C,보통 비,100%,8.76mm
"Taibei (China, Taiwan Province of China)",2025-06-18,26.14°C,33.53°C,강한 비,100%,35.76mm
Bogotá (Colombia),2025-06-12,9.79°C,17.47°C,실 비,100%,5.52mm
Bogotá (Colombia),2025-06-13,9.71°C,17.15°C,실 비,100%,4.36mm
Bogotá (Colombia),2025-06-14,9.5°C,16.97°C,실 비,100%,5.41mm
Bogotá (Colombia),2025-06-15,9.93°C,18.16°C,실 비,100%,6.44mm
Bogotá (Colombia),2025-06-16,9.95°C,14.88°C,실 비,100%,4.64mm
Bogotá (Colombia),2025-06-17,9.41°C,15.06°C,실 비,100%,5.28mm
Bogotá (Colombia),2025-06-18,9.83°C,16°C,실 비,100%,6.51mm
Moroni (Comoros),2025-06-12,24.6°C,26.39°C,실 비,45%,1.12mm
Moroni (Comoros),2025-06-13,24.91°C,26.35°C,실 비,52%,0.85mm
Moroni (Comoros),2025-06-14,24.17°C,27.23°C,실 비,53%,1.49mm
Moroni (Comoros),2025-06-15,24.07°C,27.18°C,실 비,53%,1.43mm
Moroni (Comoros),2025-06-16,24.34°C,26.79°C,실 비,68%,1.65mm
Moroni (Comoros),2025-06-17,23.95°C,26.18°C,실 비,47%,2.18mm
Moroni (Comoros),2025-06-18,23.12°C,26.97°C,튼구름,13%,0mm
Brazzaville (Congo),2025-06-12,23.56°C,34.05°C,실 비,57%,0.68mm
Brazzaville (Congo),2025-06-13,23.57°C,31.87°C,실 비,91%,1.32mm
Brazzaville (Congo),2025-06-14,23.27°C,31.35°C,실 비,92%,4.45mm
Brazzaville (Congo),2025-06-15,23.69°C,31.28°C,실 비,56%,0.12mm
Brazzaville (Congo),2025-06-16,22.38°C,33.08°C,실 비,32%,1.04mm
Brazzaville (Congo),2025-06-17,23.33°C,32.87°C,실 비,24%,0.15mm
Brazzaville (Congo),2025-06-18,23.16°C,31.97°C,구름조금,0%,0mm
Rarotonga (Cook Islands),2025-06-12,20.86°C,22.01°C,맑음,0%,0mm
Rarotonga (Cook Islands),2025-06-13,21.15°C,21.83°C,튼구름,4%,0mm
Rarotonga (Cook Islands),2025-06-14,21.51°C,22.13°C,약간의 구름이 낀 하늘,0%,0mm
Rarotonga (Cook Islands),2025-06-15,21.08°C,21.39°C,맑음,0%,0mm
Rarotonga (Cook Islands),2025-06-16,21.38°C,22.59°C,맑음,0%,0mm
Rarotonga (Cook Islands),2025-06-17,22.19°C,23.69°C,실 비,40%,1.01mm
Rarotonga (Cook Islands),2025-06-18,22.54°C,23.83°C,실 비,100%,9.39mm
San José (Costa Rica),2025-06-12,17.34°C,26.03°C,강한 비,100%,42.56mm
San José (Costa Rica),2025-06-13,17.92°C,23.12°C,강한 비,100%,12.52mm
San José (Costa Rica),2025-06-14,17.17°C,20.94°C,강한 비,100%,43.41mm
San José (Costa Rica),2025-06-15,17.47°C,23.87°C,실 비,100%,3.94mm
San José (Costa Rica),2025-06-16,18.69°C,24.28°C,실 비,100%,2.61mm
San José (Costa Rica),2025-06-17,18.06°C,22.96°C,보통 비,100%,9.6mm
San José (Costa Rica),2025-06-18,18.71°C,23.43°C,보통 비,100%,25.11mm
Abidjan (Côte d'Ivoire),2025-06-12,24.15°C,28.02°C,보통 비,100%,19.3mm
Abidjan (Côte d'Ivoire),2025-06-13,23.63°C,26.76°C,강한 비,100%,17.45mm
Abidjan (Côte d'Ivoire),2025-06-14,24.22°C,26.98°C,실 비,100%,10.68mm
Abidjan (Côte d'Ivoire),2025-06-15,23.28°C,24.97°C,매우 강한 비,100%,176.87mm
Abidjan (Côte d'Ivoire),2025-06-16,23.66°C,24.54°C,보통 비,100%,22.23mm
Abidjan (Côte d'Ivoire),2025-06-17,23.65°C,26.44°C,보통 비,90%,11.1mm
Abidjan (Côte d'Ivoire),2025-06-18,24.88°C,27.11°C,실 비,68%,4.74mm
Zagreb (Croatia),2025-06-12,14.64°C,27.65°C,맑음,0%,0mm
Zagreb (Croatia),2025-06-13,16.31°C,29.77°C,맑음,0%,0mm
Zagreb (Croatia),2025-06-14,14.59°C,27.44°C,맑음,0%,0mm
Zagreb (Croatia),2025-06-15,14.6°C,30.21°C,맑음,0%,0mm
Zagreb (Croatia),2025-06-16,16.91°C,28.83°C,실 비,20%,0.33mm
Zagreb (Croatia),2025-06-17,19.75°C,29.24°C,온흐림,0%,0mm
Zagreb (Croatia),2025-06-18,16.64°C,33.02°C,실 비,72%,0.75mm
La Habana (Havana) (Cuba),2025-06-13,23.54°C,30.61°C,실 비,99%,2.09mm
La Habana (Havana) (Cuba),2025-06-14,24.13°C,31.99°C,실 비,100%,2.92mm
La Habana (Havana) (Cuba),2025-06-15,24.91°C,31.3°C,실 비,100%,5.89mm
La Habana (Havana) (Cuba),2025-06-16,24.76°C,31.29°C,실 비,100%,3.28mm
La Habana (Havana) (Cuba),2025-06-17,24.66°C,31.19°C,실 비,100%,5.31mm
La Habana (Havana) (Cuba),2025-06-18,24.89°C,31.87°C,보통 비,100%,7.68mm
La Habana (Havana) (Cuba),2025-06-19,25.21°C,31.14°C,실 비,100%,1.56mm
Willemstad (Curaçao),2025-06-13,26.35°C,26.94°C,보통 비,100%,7.2mm
Willemstad (Curaçao),2025-06-14,26.17°C,26.93°C,실 비,100%,5.36mm
Willemstad (Curaçao),2025-06-15,26.33°C,26.99°C,보통 비,100%,13.9mm
Willemstad (Curaçao),2025-06-16,26.36°C,27.13°C,실 비,100%,3.61mm
Willemstad (Curaçao),2025-06-17,26.69°C,26.96°C,구름조금,0%,0mm
Willemstad (Curaçao),2025-06-18,26.73°C,26.98°C,실 비,62%,0.51mm
Willemstad (Curaçao),2025-06-19,26.68°C,27.14°C,실 비,97%,1.59mm
Lefkosia (Nicosia) (Cyprus),2025-06-12,25.23°C,36.41°C,맑음,0%,0mm
Lefkosia (Nicosia) (Cyprus),2025-06-13,25.06°C,37.25°C,맑음,0%,0mm
Lefkosia (Nicosia) (Cyprus),2025-06-14,24.38°C,36.22°C,맑음,0%,0mm
Lefkosia (Nicosia) (Cyprus),2025-06-15,22.45°C,34.32°C,맑음,0%,0mm
Lefkosia (Nicosia) (Cyprus),2025-06-16,23.82°C,34.76°C,맑음,0%,0mm
Lefkosia (Nicosia) (Cyprus),2025-06-17,23.89°C,34.58°C,맑음,0%,0mm
Lefkosia (Nicosia) (Cyprus),2025-06-18,24.22°C,36.31°C,맑음,0%,0mm
Praha (Prague) (Czechia),2025-06-12,9.25°C,22.18°C,맑음,0%,0mm
Praha (Prague) (Czechia),2025-06-13,10.06°C,22.96°C,맑음,0%,0mm
Praha (Prague) (Czechia),2025-06-14,9.35°C,25.7°C,맑음,0%,0mm
Praha (Prague) (Czechia),2025-06-15,11.75°C,28.9°C,약간의 구름이 낀 하늘,0%,0mm
Praha (Prague) (Czechia),2025-06-16,14.97°C,23.03°C,구름조금,0%,0mm
Praha (Prague) (Czechia),2025-06-17,11.93°C,25.23°C,맑음,0%,0mm
Praha (Prague) (Czechia),2025-06-18,13.37°C,28.02°C,튼구름,0%,0mm
P'yongyang (Dem. People's Republic of Korea),2025-06-12,15.99°C,31.31°C,맑음,0%,0mm
P'yongyang (Dem. People's Republic of Korea),2025-06-13,17.99°C,30.7°C,맑음,0%,0mm
P'yongyang (Dem. People's Republic of Korea),2025-06-14,17.03°C,20.47°C,강한 비,100%,20.74mm
P'yongyang (Dem. People's Republic of Korea),2025-06-15,19°C,28.92°C,실 비,100%,1.74mm
P'yongyang (Dem. People's Republic of Korea),2025-06-16,20.36°C,25.32°C,보통 비,100%,17.07mm
P'yongyang (Dem. People's Republic of Korea),2025-06-17,19.39°C,30.97°C,온흐림,0%,0mm
P'yongyang (Dem. People's Republic of Korea),2025-06-18,19.26°C,32.49°C,맑음,0%,0mm
Kinshasa (Democratic Republic of the Congo),2025-06-12,23.14°C,33.75°C,실 비,54%,0.65mm
Kinshasa (Democratic Republic of the Congo),2025-06-13,23.1°C,31.57°C,실 비,90%,1.43mm
Kinshasa (Democratic Republic of the Congo),2025-06-14,22.88°C,31.18°C,실 비,92%,3.96mm
Kinshasa (Democratic Republic of the Congo),2025-06-15,23.22°C,31.19°C,실 비,56%,0.13mm
Kinshasa (Democratic Republic of the Congo),2025-06-16,22.03°C,32.71°C,실 비,32%,0.92mm
Kinshasa (Democratic Republic of the Congo),2025-06-17,22.71°C,32.63°C,실 비,24%,0.21mm
Kinshasa (Democratic Republic of the Congo),2025-06-18,22.77°C,31.79°C,구름조금,0%,0mm
København (Copenhagen) (Denmark),2025-06-12,10.79°C,18.15°C,맑음,0%,0mm
København (Copenhagen) (Denmark),2025-06-13,12.91°C,18.88°C,맑음,0%,0mm
København (Copenhagen) (Denmark),2025-06-14,12.14°C,18.15°C,구름조금,0%,0mm
København (Copenhagen) (Denmark),2025-06-15,13.97°C,21.06°C,보통 비,100%,3.78mm
København (Copenhagen) (Denmark),2025-06-16,13.5°C,17.97°C,보통 비,100%,11.43mm
København (Copenhagen) (Denmark),2025-06-17,13.57°C,20.46°C,온흐림,0%,0mm
København (Copenhagen) (Denmark),2025-06-18,13.57°C,17.82°C,보통 비,100%,12.03mm
Djibouti (Djibouti),2025-06-12,29.6°C,35.05°C,맑음,0%,0mm
Djibouti (Djibouti),2025-06-13,30.23°C,35.28°C,맑음,0%,0mm
Djibouti (Djibouti),2025-06-14,31.47°C,35.1°C,구름조금,0%,0mm
Djibouti (Djibouti),2025-06-15,31.46°C,35.1°C,튼구름,0%,0mm
Djibouti (Djibouti),2025-06-16,30.73°C,35.14°C,튼구름,0%,0mm
Djibouti (Djibouti),2025-06-17,30.92°C,35.21°C,맑음,0%,0mm
Djibouti (Djibouti),2025-06-18,31.66°C,35.62°C,온흐림,0%,0mm
Roseau (Dominica),2025-06-13,25.36°C,27.15°C,실 비,74%,2.21mm
Roseau (Dominica),2025-06-14,25.72°C,27.07°C,실 비,66%,0.39mm
Roseau (Dominica),2025-06-15,25.43°C,27.53°C,실 비,88%,2.63mm
Roseau (Dominica),2025-06-16,25.56°C,27.78°C,실 비,66%,1.09mm
Roseau (Dominica),2025-06-17,25.69°C,27.37°C,실 비,39%,1.23mm
Roseau (Dominica),2025-06-18,25.61°C,27.85°C,실 비,20%,0.12mm
Roseau (Dominica),2025-06-19,25.74°C,27.66°C,온흐림,0%,0mm
Santo Domingo (Dominican Republic),2025-06-13,22.34°C,30.57°C,실 비,100%,4.12mm
Santo Domingo (Dominican Republic),2025-06-14,22.16°C,30.88°C,보통 비,100%,3.59mm
Santo Domingo (Dominican Republic),2025-06-15,22.2°C,30.98°C,실 비,100%,4.5mm
Santo Domingo (Dominican Republic),2025-06-16,22.61°C,31.41°C,실 비,83%,2.33mm
Santo Domingo (Dominican Republic),2025-06-17,22.8°C,31.39°C,실 비,92%,2.4mm
Santo Domingo (Dominican Republic),2025-06-18,23.15°C,30.58°C,실 비,100%,4.11mm
Santo Domingo (Dominican Republic),2025-06-19,23.16°C,29.63°C,실 비,100%,8.58mm
Quito (Ecuador),2025-06-12,7.62°C,17.52°C,실 비,100%,4.53mm
Quito (Ecuador),2025-06-13,7.53°C,17.84°C,보통 비,100%,8.08mm
Quito (Ecuador),2025-06-14,8.57°C,15.47°C,실 비,99%,6.09mm
Quito (Ecuador),2025-06-15,8.9°C,15.92°C,실 비,100%,7.91mm
Quito (Ecuador),2025-06-16,8.09°C,15.59°C,보통 비,100%,12.91mm
Quito (Ecuador),2025-06-17,8.55°C,15.8°C,보통 비,100%,12.69mm
Quito (Ecuador),2025-06-18,8.23°C,17.37°C,실 비,86%,4.9mm
Al-Qahirah (Cairo) (Egypt),2025-06-12,25.17°C,38.69°C,맑음,0%,0mm
Al-Qahirah (Cairo) (Egypt),2025-06-13,23.7°C,40.15°C,맑음,0%,0mm
Al-Qahirah (Cairo) (Egypt),2025-06-14,24.46°C,38.89°C,맑음,0%,0mm
Al-Qahirah (Cairo) (Egypt),2025-06-15,22.95°C,37.45°C,맑음,0%,0mm
Al-Qahirah (Cairo) (Egypt),2025-06-16,21.46°C,35.93°C,맑음,0%,0mm
Al-Qahirah (Cairo) (Egypt),2025-06-17,22.66°C,38.01°C,맑음,0%,0mm
Al-Qahirah (Cairo) (Egypt),2025-06-18,23.8°C,37.3°C,맑음,0%,0mm
San Salvador (El Salvador),2025-06-12,19.57°C,29.8°C,보통 비,100%,12.74mm
San Salvador (El Salvador),2025-06-13,18.95°C,27.86°C,강한 비,100%,23.56mm
San Salvador (El Salvador),2025-06-14,19.3°C,24.53°C,보통 비,100%,25.5mm
San Salvador (El Salvador),2025-06-15,19.69°C,24.11°C,보통 비,100%,18.54mm
San Salvador (El Salvador),2025-06-16,19.39°C,27.87°C,강한 비,100%,31.03mm
San Salvador (El Salvador),2025-06-17,19.74°C,25.71°C,강한 비,100%,38.67mm
San Salvador (El Salvador),2025-06-18,19.44°C,21.44°C,보통 비,100%,28.29mm
Malabo (Equatorial Guinea),2025-06-12,25.96°C,27.88°C,보통 비,100%,12.79mm
Malabo (Equatorial Guinea),2025-06-13,26.17°C,27.89°C,실 비,83%,3.9mm
Malabo (Equatorial Guinea),2025-06-14,26.08°C,27.31°C,실 비,100%,13.07mm
Malabo (Equatorial Guinea),2025-06-15,25.53°C,26.99°C,보통 비,100%,13.82mm
Malabo (Equatorial Guinea),2025-06-16,25.22°C,27.02°C,보통 비,96%,18.74mm
Malabo (Equatorial Guinea),2025-06-17,25.45°C,26.38°C,실 비,100%,6.46mm
Malabo (Equatorial Guinea),2025-06-18,25.51°C,27.38°C,보통 비,100%,6.86mm
Asmara (Eritrea),2025-06-12,17.58°C,26.75°C,구름조금,0%,0mm
Asmara (Eritrea),2025-06-13,17.43°C,26.75°C,온흐림,0%,0mm
Asmara (Eritrea),2025-06-14,18.29°C,27.68°C,튼구름,0%,0mm
Asmara (Eritrea),2025-06-15,18.76°C,27.42°C,튼구름,0%,0mm
Asmara (Eritrea),2025-06-16,17.98°C,26.57°C,약간의 구름이 낀 하늘,0%,0mm
Asmara (Eritrea),2025-06-17,18.47°C,26.16°C,약간의 구름이 낀 하늘,0%,0mm
Asmara (Eritrea),2025-06-18,17.57°C,26.36°C,튼구름,0%,0mm
Tallinn (Estonia),2025-06-12,10.96°C,11.76°C,보통 비,100%,5.83mm
Tallinn (Estonia),2025-06-13,11.62°C,18.32°C,맑음,90%,0mm
Tallinn (Estonia),2025-06-14,12.54°C,17.28°C,튼구름,0%,0mm
Tallinn (Estonia),2025-06-15,10.87°C,18.2°C,구름조금,0%,0mm
Tallinn (Estonia),2025-06-16,12.21°C,18.21°C,온흐림,0%,0mm
Tallinn (Estonia),2025-06-17,12.79°C,16.39°C,실 비,30%,1.02mm
Tallinn (Estonia),2025-06-18,11.76°C,18.26°C,실 비,66%,0.69mm
Addis Ababa (Ethiopia),2025-06-12,13.91°C,28.44°C,맑음,0%,0mm
Addis Ababa (Ethiopia),2025-06-13,13.84°C,26.58°C,약간의 구름이 낀 하늘,0%,0mm
Addis Ababa (Ethiopia),2025-06-14,13.87°C,24.33°C,구름조금,5%,0mm
Addis Ababa (Ethiopia),2025-06-15,12.72°C,25.18°C,구름조금,34%,0mm
Addis Ababa (Ethiopia),2025-06-16,12.87°C,25°C,실 비,31%,0.29mm
Addis Ababa (Ethiopia),2025-06-17,12.34°C,25.43°C,실 비,24%,0.28mm
Addis Ababa (Ethiopia),2025-06-18,13.42°C,24.73°C,실 비,43%,0.73mm
Tórshavn (Faeroe Islands),2025-06-12,9.6°C,10.32°C,실 비,100%,3.45mm
Tórshavn (Faeroe Islands),2025-06-13,9.51°C,11.62°C,보통 비,100%,2.25mm
Tórshavn (Faeroe Islands),2025-06-14,8.84°C,9.61°C,실 비,20%,0.25mm
Tórshavn (Faeroe Islands),2025-06-15,9.2°C,10.26°C,실 비,100%,5.06mm
Tórshavn (Faeroe Islands),2025-06-16,9.96°C,10.55°C,실 비,100%,2.01mm
Tórshavn (Faeroe Islands),2025-06-17,9.48°C,10.14°C,실 비,100%,1.08mm
Tórshavn (Faeroe Islands),2025-06-18,9.19°C,10.01°C,실 비,100%,1.86mm
Stanley (Falkland Islands (Malvinas)),2025-06-13,5.59°C,6.69°C,온흐림,0%,0mm
Stanley (Falkland Islands (Malvinas)),2025-06-14,4.62°C,7.49°C,실 비,28%,0.16mm
Stanley (Falkland Islands (Malvinas)),2025-06-15,5.02°C,6.79°C,온흐림,0%,0mm
Stanley (Falkland Islands (Malvinas)),2025-06-16,5.87°C,6.53°C,실 비,100%,4.24mm
Stanley (Falkland Islands (Malvinas)),2025-06-17,3.27°C,6.44°C,실 비,100%,3.61mm
Stanley (Falkland Islands (Malvinas)),2025-06-18,2.45°C,4.35°C,구름조금,26%,0mm
Stanley (Falkland Islands (Malvinas)),2025-06-19,3.04°C,4.55°C,온흐림,20%,0mm
Suva (Fiji),2025-06-12,22.5°C,26.21°C,실 비,100%,2.34mm
Suva (Fiji),2025-06-13,22.73°C,26.69°C,구름조금,0%,0mm
Suva (Fiji),2025-06-14,23.26°C,26.93°C,실 비,55%,0.63mm
Suva (Fiji),2025-06-15,23.94°C,26.81°C,실 비,51%,1.17mm
Suva (Fiji),2025-06-16,22.03°C,26.88°C,실 비,35%,0.67mm
Suva (Fiji),2025-06-17,22.59°C,25.74°C,실 비,100%,3.06mm
Suva (Fiji),2025-06-18,21.82°C,23.12°C,실 비,100%,2.82mm
Helsinki (Finland),2025-06-12,10.53°C,11.7°C,보통 비,100%,16.5mm
Helsinki (Finland),2025-06-13,10.66°C,20.4°C,맑음,80%,0mm
Helsinki (Finland),2025-06-14,11.41°C,19.85°C,튼구름,0%,0mm
Helsinki (Finland),2025-06-15,11.1°C,21.83°C,구름조금,0%,0mm
Helsinki (Finland),2025-06-16,13.59°C,17.66°C,온흐림,0%,0mm
Helsinki (Finland),2025-06-17,12.02°C,17.15°C,실 비,20%,0.15mm
Helsinki (Finland),2025-06-18,10.14°C,16.72°C,실 비,35%,0.42mm
Paris (France),2025-06-12,16.97°C,31.5°C,튼구름,0%,0mm
Paris (France),2025-06-13,19.62°C,32.48°C,보통 비,99%,1.19mm
Paris (France),2025-06-14,18.7°C,28.37°C,보통 비,100%,2.55mm
Paris (France),2025-06-15,17.49°C,25.25°C,실 비,20%,0.11mm
Paris (France),2025-06-16,14.91°C,27.15°C,맑음,0%,0mm
Paris (France),2025-06-17,17.03°C,30.84°C,맑음,0%,0mm
Paris (France),2025-06-18,19.25°C,27.8°C,온흐림,0%,0mm
Cayenne (French Guiana),2025-06-13,25.13°C,27.43°C,실 비,100%,7.67mm
Cayenne (French Guiana),2025-06-14,25.47°C,27.62°C,보통 비,100%,10.9mm
Cayenne (French Guiana),2025-06-15,25.37°C,27.21°C,보통 비,100%,15.31mm
Cayenne (French Guiana),2025-06-16,25.15°C,27.35°C,보통 비,100%,15.41mm
Cayenne (French Guiana),2025-06-17,25.24°C,28.43°C,실 비,100%,5.28mm
Cayenne (French Guiana),2025-06-18,24.69°C,28.39°C,실 비,100%,7.77mm
Cayenne (French Guiana),2025-06-19,25.3°C,27.89°C,실 비,100%,6.84mm
Papeete (French Polynesia),2025-06-12,24.89°C,26.12°C,실 비,93%,0.31mm
Papeete (French Polynesia),2025-06-13,24.57°C,25.41°C,구름조금,0%,0mm
Papeete (French Polynesia),2025-06-14,24.53°C,25.49°C,실 비,32%,1.29mm
Papeete (French Polynesia),2025-06-15,25.34°C,25.82°C,실 비,40%,2.69mm
Papeete (French Polynesia),2025-06-16,25.67°C,26.26°C,실 비,33%,0.53mm
Papeete (French Polynesia),2025-06-17,26.16°C,26.5°C,실 비,37%,0.19mm
Papeete (French Polynesia),2025-06-18,26.26°C,26.87°C,실 비,35%,0.64mm
Libreville (Gabon),2025-06-12,24.4°C,27.88°C,온흐림,40%,0mm
Libreville (Gabon),2025-06-13,24.7°C,27.64°C,실 비,48%,0.17mm
Libreville (Gabon),2025-06-14,24.27°C,25.2°C,실 비,97%,4.24mm
Libreville (Gabon),2025-06-15,23.41°C,27.25°C,실 비,39%,0.48mm
Libreville (Gabon),2025-06-16,23.79°C,27.65°C,온흐림,36%,0mm
Libreville (Gabon),2025-06-17,24.59°C,26.06°C,온흐림,11%,0mm
Libreville (Gabon),2025-06-18,23.72°C,27.82°C,실 비,37%,0.23mm
Banjul (Gambia),2025-06-12,25.2°C,25.65°C,실 비,39%,0.48mm
Banjul (Gambia),2025-06-13,24.47°C,26.21°C,보통 비,100%,4.61mm
Banjul (Gambia),2025-06-14,25.53°C,25.97°C,실 비,28%,0.27mm
Banjul (Gambia),2025-06-15,25.38°C,25.79°C,실 비,57%,0.88mm
Banjul (Gambia),2025-06-16,24.67°C,25.58°C,약간의 구름이 낀 하늘,0%,0mm
Banjul (Gambia),2025-06-17,24.34°C,26.61°C,실 비,100%,2.1mm
Banjul (Gambia),2025-06-18,25.09°C,25.95°C,튼구름,0%,0mm
Tbilisi (Georgia),2025-06-12,19.4°C,32.09°C,구름조금,34%,0mm
Tbilisi (Georgia),2025-06-13,16.78°C,32.93°C,실 비,100%,1.57mm
Tbilisi (Georgia),2025-06-14,18.04°C,30.8°C,실 비,100%,4.92mm
Tbilisi (Georgia),2025-06-15,17.17°C,21.11°C,실 비,100%,4.67mm
Tbilisi (Georgia),2025-06-16,14.72°C,24.74°C,실 비,94%,1.29mm
Tbilisi (Georgia),2025-06-17,15.04°C,27.51°C,보통 비,100%,5.67mm
Tbilisi (Georgia),2025-06-18,17.04°C,25.71°C,실 비,28%,0.21mm
Berlin (Germany),2025-06-12,10.86°C,23.79°C,약간의 구름이 낀 하늘,0%,0mm
Berlin (Germany),2025-06-13,13.21°C,25.26°C,맑음,0%,0mm
Berlin (Germany),2025-06-14,13.61°C,28.22°C,맑음,0%,0mm
Berlin (Germany),2025-06-15,16.69°C,31.54°C,보통 비,100%,11.2mm
Berlin (Germany),2025-06-16,15.03°C,22.4°C,실 비,100%,2.82mm
Berlin (Germany),2025-06-17,13.59°C,25.5°C,구름조금,0%,0mm
Berlin (Germany),2025-06-18,16.87°C,27.14°C,튼구름,0%,0mm
Accra (Ghana),2025-06-12,25.32°C,29.28°C,보통 비,100%,11.43mm
Accra (Ghana),2025-06-13,24.62°C,28.15°C,실 비,93%,0.53mm
Accra (Ghana),2025-06-14,24.27°C,28.76°C,보통 비,82%,8.9mm
Accra (Ghana),2025-06-15,24.36°C,25.67°C,보통 비,100%,26.64mm
Accra (Ghana),2025-06-16,23.57°C,26.5°C,강한 비,100%,38.79mm
Accra (Ghana),2025-06-17,23.54°C,28.24°C,튼구름,84%,0mm
Accra (Ghana),2025-06-18,24.54°C,27.58°C,실 비,38%,0.51mm
Gibraltar (Gibraltar),2025-06-12,16.84°C,23.9°C,맑음,0%,0mm
Gibraltar (Gibraltar),2025-06-13,18.5°C,22.83°C,약간의 구름이 낀 하늘,0%,0mm
Gibraltar (Gibraltar),2025-06-14,19.75°C,22.17°C,튼구름,0%,0mm
Gibraltar (Gibraltar),2025-06-15,19.63°C,21.88°C,튼구름,0%,0mm
Gibraltar (Gibraltar),2025-06-16,19.6°C,21.68°C,튼구름,0%,0mm
Gibraltar (Gibraltar),2025-06-17,19.86°C,21.82°C,튼구름,0%,0mm
Gibraltar (Gibraltar),2025-06-18,19.8°C,25.99°C,구름조금,0%,0mm
Athínai (Athens) (Greece),2025-06-12,23.72°C,32.43°C,맑음,0%,0mm
Athínai (Athens) (Greece),2025-06-13,23.8°C,31.2°C,맑음,0%,0mm
Athínai (Athens) (Greece),2025-06-14,23.15°C,30.36°C,맑음,0%,0mm
Athínai (Athens) (Greece),2025-06-15,20.16°C,27.43°C,맑음,0%,0mm
Athínai (Athens) (Greece),2025-06-16,20.41°C,29.2°C,맑음,0%,0mm
Athínai (Athens) (Greece),2025-06-17,22°C,30.99°C,맑음,0%,0mm
Athínai (Athens) (Greece),2025-06-18,22.96°C,31.56°C,맑음,0%,0mm
Nuuk (Godthåb) (Greenland),2025-06-13,1.49°C,3.55°C,보통 비,100%,17.12mm
Nuuk (Godthåb) (Greenland),2025-06-14,2.12°C,3.7°C,보통 비,100%,19.6mm
Nuuk (Godthåb) (Greenland),2025-06-15,2.7°C,3.63°C,실 비,100%,10.58mm
Nuuk (Godthåb) (Greenland),2025-06-16,1.41°C,3.18°C,실 비,47%,1.77mm
Nuuk (Godthåb) (Greenland),2025-06-17,0.95°C,2.03°C,맑음,35%,0mm
Nuuk (Godthåb) (Greenland),2025-06-18,1.64°C,3.25°C,온흐림,6%,0mm
Nuuk (Godthåb) (Greenland),2025-06-19,2.21°C,3.88°C,보통 비,100%,13.89mm
St.George's (Grenada),2025-06-13,23.64°C,25.06°C,강한 비,100%,31.81mm
St.George's (Grenada),2025-06-14,25.42°C,27.52°C,실 비,100%,2.97mm
St.George's (Grenada),2025-06-15,26.26°C,27.83°C,실 비,24%,0.52mm
St.George's (Grenada),2025-06-16,26.47°C,28.48°C,온흐림,0%,0mm
